Percentage of Rank,Rank,Compression Ratio,MSE,PSNR,Time Taken (s)
0.01,5,0.18573825503355704,0.012373073359875688,19.075224121370802,0.10884284973144531
0.05,25,0.2902297367062468,0.00831360396737515,20.802106676912658,0.6039900779724121
0.1,51,0.33429917398038206,0.006038617183447257,22.19062501503817,1.2827856540679932
0.2,102,0.37529039752194115,0.0037516910350919915,24.25772934493311,2.738586902618408
0.3,153,0.4057498709344347,0.002502111448990026,26.01693349877046,5.524250745773315
0.5,256,0.43258905524006197,0.0012389899880089557,29.06932203042848,14.00541067123413
0.7,358,0.45243288590604025,0.0006728296351562938,31.720948880463467,25.712947845458984
0.85,435,0.46199019101703664,0.0004296609660400162,33.66874099430933,42.59965491294861
0.9,460,0.46068017552916884,0.00036966535593475224,34.32191248456833,53.32409906387329
1.0,512,0.46539106866288077,0.0002797943124645333,35.53161117901281,63.408271074295044
